datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-18 01:45:00,2021-01-17,bullish_choch,bullish,1.2078,1.20785,0.5,0.0843,47,Tokyo,1,-10.207999999998218,5.93,8.2,13.1,True,False,False
2021-01-18 04:15:00,2021-01-17,bearish_choch,bearish,1.20707,1.20694,1.3,0.2578,4,Tokyo,4,-5.782000000000842,5.04,10.4,17.3,True,True,False
2021-01-18 06:45:00,2021-01-17,bullish_bos,bullish,1.20786,1.20809,2.3,0.5016,14,Tokyo,6,-3.606000000000442,4.59,5.8,27.4,True,False,False
2021-01-18 09:45:00,2021-01-17,bearish_choch,bearish,1.20669,1.2062,4.9,0.6381,26,London,9,-1.9400000000002748,7.68,8.5,14.7,True,False,False
2021-01-18 11:00:00,2021-01-17,bullish_choch,bullish,1.20697,1.20703,0.6,0.0732,3,London,11,-2.2239999999995597,8.2,10.5,16.8,True,False,False
2021-01-18 16:15:00,2021-01-17,bullish_bos,bullish,1.20767,1.20773,0.6,0.1085,5,New_York,16,-1.2239999999996698,5.53,4.8,6.5,False,False,False
2021-01-18 19:00:00,2021-01-17,bullish_bos,bullish,1.20751,1.20764,1.3,0.3415,16,Off_Hours,19,0.22200000000083264,3.81,16.2,2.5,True,True,True
2021-01-19 00:00:00,2021-01-18,bullish_bos,bullish,1.20809,1.2083,2.1,0.7033,36,Tokyo,0,2.089999999999037,2.99,15.6,1.7,True,True,True
2021-01-19 01:30:00,2021-01-18,bullish_bos,bullish,1.20926,1.20958,3.2,0.8,42,Tokyo,1,3.9639999999985243,4.0,4.6,10.6,True,False,False
2021-01-19 05:30:00,2021-01-18,bearish_choch,bearish,1.20922,1.20913,0.9,0.3214,58,Tokyo,5,4.212000000001215,2.8,6.1,46.2,True,True,False
2021-01-19 07:15:00,2021-01-18,bearish_bos,bearish,1.20925,1.20902,2.3,0.6192,3,Tokyo,7,4.0879999999998695,3.71,3.1,47.3,False,False,False
2021-01-19 10:00:00,2021-01-18,bullish_bos,bullish,1.21186,1.21284,9.8,1.0595,1,London,10,7.032000000000149,9.25,16.4,9.7,True,False,True
2021-01-19 13:30:00,2021-01-18,bullish_choch,bullish,1.21335,1.21392,5.7,0.8627,0,New_York,13,9.692000000001144,6.61,5.6,23.8,False,False,False
2021-01-19 15:00:00,2021-01-18,bearish_bos,bearish,1.21233,1.21201,3.2,0.4379,6,New_York,15,8.277999999999341,7.31,4.7,14.9,False,False,False
2021-01-19 19:30:00,2021-01-18,bullish_choch,bullish,1.21247,1.21249,0.2,0.0374,24,Off_Hours,19,5.353999999999637,5.35,21.4,2.1,True,True,True
2021-01-19 23:00:00,2021-01-19,bullish_choch,bullish,1.2129,1.21348,5.8,1.6305,2,Off_Hours,23,1.9239999999998147,3.56,14.4,7.9,True,True,True
2021-01-20 02:30:00,2021-01-19,bullish_bos,bullish,1.21463,1.21473,1.0,0.1816,6,Tokyo,2,1.964000000000965,5.51,10.8,14.3,True,False,False
2021-01-20 06:30:00,2021-01-19,bullish_bos,bullish,1.21492,1.2157,7.8,2.0373,22,Tokyo,6,4.116000000000675,3.83,1.1,53.0,False,False,False
2021-01-20 08:30:00,2021-01-19,bearish_choch,bearish,1.21404,1.21382,2.2,0.337,30,London,8,5.395999999999734,6.53,42.8,2.0,True,True,True
2021-01-20 11:45:00,2021-01-19,bearish_bos,bearish,1.21133,1.2112,1.3,0.1568,4,London,11,-1.689999999998637,8.29,35.3,5.7,True,True,True
2021-01-20 14:45:00,2021-01-19,bearish_bos,bearish,1.20954,1.20804,15.0,1.6535,16,New_York,14,-8.013999999998411,9.07,0.0,37.3,False,False,False
2021-01-20 20:00:00,2021-01-19,bearish_choch,bearish,1.21029,1.21019,1.0,0.2006,14,Off_Hours,20,-8.466000000000307,4.99,3.1,28.6,False,False,False
2021-01-20 22:30:00,2021-01-20,bullish_choch,bullish,1.21076,1.21081,0.5,0.1284,6,Off_Hours,22,-5.737999999999577,3.89,25.6,0.8,True,True,True
2021-01-21 01:00:00,2021-01-20,bullish_bos,bullish,1.21186,1.21278,9.2,2.0125,4,Tokyo,1,-0.17400000000167282,4.57,10.2,4.9,True,True,True
2021-01-21 05:15:00,2021-01-20,bullish_bos,bullish,1.21321,1.2133,0.9,0.2485,21,Tokyo,5,5.780000000001895,3.62,13.9,18.2,True,True,False
2021-01-21 07:45:00,2021-01-20,bearish_choch,bearish,1.2127,1.21195,7.5,1.3834,31,Tokyo,7,4.667999999998784,5.42,4.7,53.5,False,False,False
2021-01-21 09:15:00,2021-01-20,bullish_choch,bullish,1.21352,1.21409,5.7,0.6815,2,London,9,4.524000000001305,8.36,32.1,8.5,True,True,True
2021-01-21 12:15:00,2021-01-20,bullish_bos,bullish,1.21469,1.21487,1.8,0.2622,3,London,12,6.266000000001437,6.86,24.3,13.1,True,True,True
2021-01-21 13:00:00,2021-01-20,bullish_bos,bullish,1.21469,1.21578,10.9,1.3686,6,New_York,13,6.327999999997669,7.96,15.2,22.2,True,False,False
